id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,instrumentalness,speechiness,liveness,language,explicit,duration_seconds
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,80,2020,0.02,0.05,0.12,English,False,201
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020,0.85,0.03,0.09,Instrumental,False,168
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,0.05,0.06,0.30,English,True,236
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020,0.90,0.03,0.08,Instrumental,False,155
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,68,2020,0.01,0.08,0.20,English,False,190
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,2010,0.95,0.02,0.06,Instrumental,False,300
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2000,0.60,0.04,0.15,English,False,245
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,63,1980,0.40,0.04,0.14,English,False,222
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020,0.88,0.03,0.07,Instrumental,False,180
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2010,0.10,0.05,0.18,English,False,210
11,Concrete Sunset,Grey Skyline,hip hop,moody,0.68,95,0.42,0.80,0.12,74,2020,0.00,0.35,0.16,English,True,198
12,Neon Pulse,Circuit Bloom,edm,energetic,0.95,128,0.70,0.90,0.03,78,2020,0.30,0.05,0.22,English,False,215
13,Velvet Morning,Aria Vale,r&b,romantic,0.55,96,0.63,0.71,0.28,70,2010,0.05,0.10,0.13,English,False,224
14,Moonlit Sonata Redux,Elena Voss,classical,melancholic,0.30,68,0.35,0.25,0.95,45,1990,0.98,0.02,0.05,Instrumental,False,320
15,Dusty Backroads,Cody Rivers,country,relaxed,0.50,100,0.68,0.60,0.75,60,2000,0.03,0.06,0.20,English,False,205
16,Iron Veins,Blackforge,metal,intense,0.97,168,0.30,0.55,0.02,55,2010,0.08,0.07,0.35,English,True,258
17,Island Time,Sunny Isle Collective,reggae,happy,0.60,92,0.85,0.78,0.40,57,2000,0.05,0.05,0.25,English,False,214
18,Whispering Pines,Hollow Meadow,folk,melancholic,0.33,84,0.40,0.45,0.90,42,2010,0.20,0.04,0.16,English,False,236
19,Golden Hour Groove,Marisol Rey,soul,uplifting,0.62,104,0.80,0.76,0.30,64,1970,0.04,0.07,0.19,English,False,228
20,Cielo Abierto,Los Vientos,pop,happy,0.80,120,0.82,0.85,0.20,69,2020,0.02,0.06,0.15,Spanish,False,199
21,Tokyo Rain,Yuki Nakamura,synthwave,moody,0.70,116,0.45,0.70,0.18,61,1980,0.50,0.03,0.12,Japanese,False,240
22,Paris After Dark,Camille Laurent,jazz,romantic,0.45,88,0.66,0.58,0.82,53,1960,0.55,0.05,0.17,French,False,252
23,Deep Space Signal,Orbit Bloom,ambient,dark,0.22,55,0.25,0.35,0.88,38,2020,0.97,0.02,0.05,Instrumental,False,340
24,Bass Cathedral,Circuit Bloom,edm,dark,0.88,140,0.38,0.84,0.04,67,2010,0.45,0.05,0.28,English,True,246
25,Sunday Slowdown,Slow Stereo,jazz,relaxed,0.34,76,0.69,0.50,0.91,49,1990,0.62,0.04,0.14,English,False,268
26,Electric Youth,Indigo Parade,indie pop,energetic,0.83,126,0.75,0.80,0.25,65,2010,0.09,0.05,0.21,English,False,207
27,Seoul Nights,Hana Kim,pop,energetic,0.86,122,0.78,0.88,0.15,82,2020,0.02,0.06,0.17,Korean,False,196
28,Rust and Bone,Voltline,rock,dark,0.85,144,0.32,0.60,0.08,58,2000,0.06,0.06,0.32,English,True,251
